application_id,application_date,annual_income,credit_score,debt_to_income_ratio,loan_amount,employment_years,region,default_risk
APP-20056,2023-01-19 16:00,57767.86,702.0,0.345,27369.0,19,South,1
APP-20057,2023-01-20 00:00,72607.49,706.0,0.328,12399.0,1,South,0
APP-20058,2023-01-20 08:00,76347.98,733.0,0.334,31083.0,21,East,1
APP-20059,2023-01-20 16:00,54116.88,766.0,0.365,27619.0,15,East,0
APP-20060,2023-01-21 00:00,77011.4,669.0,0.305,37315.0,17,West,0
APP-20061,2023-01-21 08:00,51370.76,688.0,0.277,10913.0,15,North,1
APP-20062,2023-01-21 16:00,55823.4,638.0,0.17,31298.0,4,North,1
APP-20063,2023-01-22 00:00,43257.15,697.0,0.305,7928.0,0,North,0
APP-20064,2023-01-22 08:00,42810.38,736.0,0.362,24785.0,18,East,0
APP-20065,2023-01-22 16:00,51208.59,694.0,0.192,24316.0,9,East,1
APP-20066,2023-01-23 00:00,64614.02,789.0,0.262,18593.0,20,North,1
APP-20067,2023-01-23 08:00,50090.28,715.0,0.314,34560.0,12,East,1
APP-20068,2023-01-23 16:00,87471.27,705.0,0.401,5153.0,22,North,1
APP-20069,2023-01-24 00:00,51012.55,694.0,0.187,23206.0,23,West,1
APP-20070,2023-01-24 08:00,67759.2,649.0,0.343,12600.0,22,South,1
APP-20071,2023-01-24 16:00,84803.64,706.0,0.251,31022.0,22,North,0
APP-20072,2023-01-25 00:00,66387.69,726.0,0.226,6507.0,10,East,1
APP-20073,2023-01-25 08:00,59541.26,705.0,0.207,34104.0,14,West,0
APP-20074,2023-01-25 16:00,67205.13,720.0,0.228,34333.0,1,East,1
APP-20075,2023-01-26 00:00,56573.98,680.0,0.32,34150.0,5,East,1
APP-20076,2023-01-26 08:00,49987.86,654.0,0.262,10340.0,20,East,1
APP-20077,2023-01-26 16:00,74190.59,705.0,0.337,27064.0,10,North,1
APP-20078,2023-01-27 00:00,56253.33,720.0,0.19,5503.0,14,West,1
APP-20079,2023-01-27 08:00,79051.3,702.0,0.336,34679.0,8,North,0
APP-20080,2023-01-27 16:00,76943.94,719.0,0.315,30304.0,11,South,1
APP-20081,2023-01-28 00:00,67494.75,745.0,0.159,23590.0,3,North,0
APP-20082,2023-01-28 08:00,79563.29,745.0,0.4,30571.0,22,South,1
APP-20083,2023-01-28 16:00,56839.11,749.0,0.307,8301.0,23,West,1
APP-20084,2023-01-29 00:00,76756.65,755.0,0.341,23503.0,13,West,0
APP-20085,2023-01-29 08:00,76678.59,732.0,0.372,15195.0,21,North,0
APP-20086,2023-01-29 16:00,60478.68,726.0,0.357,39042.0,2,North,1
APP-20087,2023-01-30 00:00,58554.21,797.0,0.27,34999.0,20,East,0
APP-20088,2023-01-30 08:00,69935.43,745.0,0.338,30665.0,16,South,0
APP-20089,2023-01-30 16:00,94523.67,672.0,0.135,37681.0,12,East,0
APP-20090,2023-01-31 00:00,61516.47,626.0,0.312,17140.0,7,East,1
APP-20091,2023-01-31 08:00,58238.41,699.0,0.419,36531.0,11,West,1
APP-20092,2023-01-31 16:00,82675.92,738.0,0.224,16383.0,11,North,0
APP-20093,2023-02-01 00:00,66021.99,753.0,0.353,30648.0,11,West,0
APP-20094,2023-02-01 08:00,77990.32,654.0,0.422,30775.0,1,North,1
APP-20095,2023-02-01 16:00,87119.47,743.0,0.335,5642.0,9,West,1
APP-20096,2023-02-02 00:00,36394.64,761.0,0.362,17637.0,22,West,1
APP-20097,2023-02-02 08:00,64436.31,737.0,0.154,5680.0,8,West,0
APP-20098,2023-02-02 16:00,61552.94,729.0,0.205,39898.0,0,South,0
APP-20099,2023-02-03 00:00,50565.04,704.0,0.394,9277.0,3,West,0
APP-20100,2023-02-03 08:00,36220.49,689.0,0.357,23998.0,22,South,0
APP-20101,2023-02-03 16:00,41127.53,745.0,0.32,32669.0,13,West,1
APP-20102,2023-02-04 00:00,66565.53,736.0,0.259,12044.0,15,North,1
APP-20103,2023-02-04 08:00,56989.46,695.0,0.303,21977.0,24,South,1
APP-20104,2023-02-04 16:00,52972.5,824.0,0.419,26260.0,17,North,0
APP-20105,2023-02-05 00:00,66416.41,642.0,0.272,10607.0,1,North,0
APP-20106,2023-02-05 08:00,54617.79,700.0,0.336,32249.0,5,North,1
APP-20107,2023-02-05 16:00,84352.71,675.0,0.334,15477.0,2,South,1
APP-20108,2023-02-06 00:00,55686.74,727.0,0.227,12386.0,19,East,1
APP-20109,2023-02-06 08:00,87579.82,622.0,0.233,24540.0,18,South,1
APP-20110,2023-02-06 16:00,64549.76,767.0,0.402,19361.0,12,East,0
APP-20111,2023-02-07 00:00,55221.51,755.0,0.326,37210.0,16,South,0
APP-20112,2023-02-07 08:00,54131.53,722.0,0.226,35802.0,13,West,1
APP-20113,2023-02-07 16:00,87706.91,696.0,0.255,21917.0,21,East,1
APP-20114,2023-02-08 00:00,75437.5,742.0,0.201,17574.0,10,West,1
APP-20115,2023-02-08 08:00,53608.73,725.0,0.365,16393.0,15,East,1
APP-20116,2023-02-08 16:00,66786.15,753.0,0.26,14365.0,10,South,1
APP-20117,2023-02-09 00:00,29619.82,704.0,0.261,24059.0,17,South,0
APP-20118,2023-02-09 08:00,45025.94,702.0,0.347,33174.0,1,East,1
APP-20119,2023-02-09 16:00,53745.67,758.0,0.146,15876.0,22,West,0
APP-20120,2023-02-10 00:00,53377.74,739.0,0.277,11653.0,20,North,1
APP-20121,2023-02-10 08:00,83195.22,702.0,0.279,21642.0,7,East,1
APP-20122,2023-02-10 16:00,36287.2,727.0,0.257,7416.0,13,East,1
APP-20123,2023-02-11 00:00,43582.9,718.0,0.236,29545.0,1,West,1
APP-20124,2023-02-11 08:00,71785.92,731.0,0.223,23143.0,12,North,0
APP-20125,2023-02-11 16:00,68454.08,767.0,0.303,22373.0,9,East,1
APP-20126,2023-02-12 00:00,59753.44,694.0,0.199,15516.0,7,North,1
APP-20127,2023-02-12 08:00,95787.33,681.0,0.293,36664.0,6,North,0
APP-20128,2023-02-12 16:00,74261.11,722.0,0.236,8167.0,12,South,1
APP-20129,2023-02-13 00:00,83342.37,686.0,0.241,35444.0,23,West,1
APP-20130,2023-02-13 08:00,64238.0,669.0,0.296,18185.0,18,East,1
APP-20131,2023-02-13 16:00,56846.27,755.0,0.24,35822.0,23,East,0
APP-20132,2023-02-14 00:00,57018.06,697.0,0.381,30507.0,14,North,1
APP-20133,2023-02-14 08:00,78914.97,626.0,0.269,8646.0,21,East,1
APP-20134,2023-02-14 16:00,76591.23,748.0,0.364,34104.0,1,North,0
APP-20135,2023-02-15 00:00,61720.88,690.0,0.219,28876.0,21,East,0
APP-20136,2023-02-15 08:00,72073.76,736.0,0.217,6131.0,4,West,1
APP-20137,2023-02-15 16:00,79439.27,759.0,0.147,9680.0,18,East,1
APP-20138,2023-02-16 00:00,56541.06,719.0,0.241,27247.0,0,North,1
APP-20139,2023-02-16 08:00,59849.07,618.0,0.261,28191.0,6,North,1
APP-20140,2023-02-16 16:00,71699.61,622.0,0.286,31133.0,17,East,1
APP-20141,2023-02-17 00:00,38170.1,680.0,0.336,30209.0,0,East,0
APP-20142,2023-02-17 08:00,71983.88,707.0,0.33,28083.0,0,North,0
APP-20143,2023-02-17 16:00,48124.26,764.0,0.371,31818.0,6,South,1
APP-20144,2023-02-18 00:00,79124.8,723.0,0.209,25128.0,16,South,0
APP-20145,2023-02-18 08:00,97216.77,828.0,0.282,14128.0,24,East,1
APP-20146,2023-02-18 16:00,54542.48,643.0,0.2,36933.0,5,West,1
APP-20147,2023-02-19 00:00,44755.34,715.0,0.313,5637.0,19,East,1
APP-20148,2023-02-19 08:00,62301.37,690.0,0.424,17830.0,11,West,1
APP-20149,2023-02-19 16:00,61021.1,721.0,0.184,30510.0,19,East,0
APP-20150,2023-02-20 00:00,74910.86,789.0,0.335,19950.0,14,North,0
APP-20151,2023-02-20 08:00,68510.92,792.0,0.364,5869.0,12,East,1
APP-20152,2023-02-20 16:00,60555.05,712.0,0.209,7309.0,11,West,0
APP-20153,2023-02-21 00:00,66359.2,749.0,0.315,27702.0,20,West,1
APP-20154,2023-02-21 08:00,48167.71,720.0,0.251,38770.0,1,East,1
APP-20155,2023-02-21 16:00,77438.23,662.0,0.27,24315.0,20,East,1
APP-20156,2023-02-22 00:00,89269.42,711.0,0.249,22737.0,17,South,0
APP-20157,2023-02-22 08:00,47036.04,687.0,0.262,16141.0,3,East,0
APP-20158,2023-02-22 16:00,41311.21,707.0,0.372,13984.0,9,East,1
APP-20159,2023-02-23 00:00,58968.67,672.0,0.274,5734.0,10,North,0
APP-20160,2023-02-23 08:00,46677.94,717.0,0.232,14553.0,20,West,1
APP-20161,2023-02-23 16:00,45856.73,724.0,0.286,20719.0,5,South,1
APP-20162,2023-02-24 00:00,43969.72,742.0,0.11,11928.0,5,North,0
APP-20163,2023-02-24 08:00,62095.96,724.0,0.215,8057.0,8,East,0
APP-20164,2023-02-24 16:00,58828.66,784.0,0.38,30120.0,19,West,1
APP-20165,2023-02-25 00:00,70598.85,809.0,0.268,36312.0,12,East,0
APP-20166,2023-02-25 08:00,56554.79,692.0,0.242,37787.0,4,East,1
APP-20167,2023-02-25 16:00,46750.35,754.0,0.294,26630.0,5,East,1
APP-20168,2023-02-26 00:00,64746.76,805.0,0.339,6847.0,3,East,0
APP-20169,2023-02-26 08:00,49121.66,755.0,0.386,30930.0,5,West,1
APP-20170,2023-02-26 16:00,72682.57,742.0,0.244,8853.0,17,North,1
APP-20171,2023-02-27 00:00,40006.66,628.0,0.246,28441.0,12,East,1
APP-20172,2023-02-27 08:00,32526.71,685.0,0.262,32278.0,22,East,1
APP-20173,2023-02-27 16:00,40853.41,691.0,0.362,30405.0,2,South,1
APP-20174,2023-02-28 00:00,58725.21,772.0,0.285,38316.0,9,South,0
APP-20175,2023-02-28 08:00,60693.05,677.0,0.453,30835.0,3,West,1
APP-20176,2023-02-28 16:00,67054.13,706.0,0.267,29262.0,24,East,1
APP-20177,2023-03-01 00:00,56529.46,748.0,0.421,14161.0,14,East,0
APP-20178,2023-03-01 08:00,52302.38,675.0,0.209,37367.0,11,East,0
APP-20179,2023-03-01 16:00,86499.12,723.0,0.169,11284.0,14,West,1
APP-20180,2023-03-02 00:00,82533.28,717.0,0.272,36671.0,20,West,1
APP-20181,2023-03-02 08:00,79793.04,749.0,0.371,15943.0,24,East,1
APP-20182,2023-03-02 16:00,69633.44,740.0,0.242,9556.0,9,East,1
APP-20183,2023-03-03 00:00,70827.59,738.0,0.231,33934.0,11,West,0
APP-20184,2023-03-03 08:00,52922.03,719.0,0.362,5087.0,21,East,0
APP-20185,2023-03-03 16:00,67165.37,635.0,0.336,34123.0,7,North,1
APP-20186,2023-03-04 00:00,50901.99,716.0,0.217,14181.0,20,North,1
APP-20187,2023-03-04 08:00,49200.9,712.0,0.212,35965.0,20,West,1
APP-20188,2023-03-04 16:00,40737.65,744.0,0.346,29202.0,2,North,1
APP-20189,2023-03-05 00:00,71091.07,691.0,0.149,28316.0,6,South,1
APP-20190,2023-03-05 08:00,67455.08,712.0,0.366,17786.0,17,East,1
APP-20191,2023-03-05 16:00,60456.73,713.0,0.335,7079.0,2,South,1
APP-20192,2023-03-06 00:00,58492.9,678.0,0.098,34053.0,14,South,0
APP-20193,2023-03-06 08:00,37548.4,658.0,0.281,10982.0,1,South,1
APP-20194,2023-03-06 16:00,68845.99,727.0,0.122,18029.0,14,North,0
APP-20195,2023-03-07 00:00,60266.9,755.0,0.184,26012.0,12,East,1
APP-20196,2023-03-07 08:00,78439.96,682.0,0.24,21879.0,23,East,0
APP-20197,2023-03-07 16:00,67193.17,700.0,0.179,11953.0,19,West,0
APP-20198,2023-03-08 00:00,75586.76,747.0,0.457,9922.0,9,South,0
APP-20199,2023-03-08 08:00,64891.39,752.0,0.349,9314.0,23,North,0
APP-20200,2023-03-08 16:00,67725.17,720.0,0.389,35205.0,23,South,1
APP-20201,2023-03-09 00:00,78966.89,729.0,0.269,6105.0,23,South,1
APP-20202,2023-03-09 08:00,62114.16,734.0,0.282,39195.0,23,East,0
APP-20203,2023-03-09 16:00,72077.82,742.0,0.406,11949.0,7,West,0
APP-20204,2023-03-10 00:00,58347.13,662.0,0.315,8861.0,15,North,1
APP-20205,2023-03-10 08:00,63033.4,796.0,0.329,25194.0,24,East,0
APP-20206,2023-03-10 16:00,88902.86,722.0,0.207,7800.0,15,South,0
APP-20207,2023-03-11 00:00,74607.6,743.0,0.207,26086.0,1,East,1
APP-20208,2023-03-11 08:00,56878.12,676.0,0.301,34772.0,8,South,1
APP-20209,2023-03-11 16:00,71343.79,702.0,0.31,6676.0,7,North,1
APP-20210,2023-03-12 00:00,45800.28,727.0,0.2,32995.0,10,East,1
APP-20211,2023-03-12 08:00,61682.12,629.0,0.309,18807.0,0,East,1
APP-20212,2023-03-12 16:00,50698.64,669.0,0.182,10582.0,20,East,1
APP-20213,2023-03-13 00:00,71778.59,677.0,0.281,11163.0,10,East,0
APP-20214,2023-03-13 08:00,62166.03,652.0,0.165,37157.0,17,East,1
APP-20215,2023-03-13 16:00,69252.18,715.0,0.386,8871.0,20,North,1
APP-20216,2023-03-14 00:00,76612.69,707.0,0.255,35337.0,14,West,1
APP-20217,2023-03-14 08:00,58096.79,774.0,0.225,24049.0,23,North,1
APP-20218,2023-03-14 16:00,58632.74,660.0,0.188,6367.0,8,East,1
APP-20219,2023-03-15 00:00,64444.44,721.0,0.181,21257.0,8,South,1
APP-20220,2023-03-15 08:00,52092.56,670.0,0.315,33611.0,0,South,0
APP-20221,2023-03-15 16:00,64831.81,633.0,0.36,30417.0,6,East,1
APP-20222,2023-03-16 00:00,65623.44,736.0,0.352,22107.0,11,West,0
APP-20223,2023-03-16 08:00,68434.1,740.0,0.392,35102.0,23,East,0
APP-20224,2023-03-16 16:00,71293.26,735.0,0.42,9213.0,9,North,0
APP-20225,2023-03-17 00:00,40953.26,651.0,0.357,36848.0,18,West,1
APP-20226,2023-03-17 08:00,45723.18,714.0,0.24,34625.0,15,West,1
APP-20227,2023-03-17 16:00,47492.24,737.0,0.294,29790.0,5,North,1
APP-20228,2023-03-18 00:00,66389.12,753.0,0.099,33626.0,10,West,0
APP-20229,2023-03-18 08:00,60734.36,738.0,0.331,24034.0,18,East,1
APP-20230,2023-03-18 16:00,30984.13,753.0,0.292,28631.0,24,East,0
APP-20231,2023-03-19 00:00,94205.67,758.0,0.408,24621.0,18,South,1
APP-20232,2023-03-19 08:00,35165.46,715.0,0.221,17440.0,17,North,1
APP-20233,2023-03-19 16:00,65456.36,732.0,0.321,24910.0,24,West,1
APP-20234,2023-03-20 00:00,73450.6,755.0,0.2,14011.0,14,West,0
APP-20235,2023-03-20 08:00,54203.2,728.0,0.271,20410.0,15,West,0
APP-20236,2023-03-20 16:00,74599.4,764.0,0.149,14827.0,13,East,0
APP-20237,2023-03-21 00:00,49877.34,749.0,0.388,9301.0,7,North,1
APP-20238,2023-03-21 08:00,67566.52,682.0,0.364,16265.0,7,East,1
APP-20239,2023-03-21 16:00,32291.8,651.0,0.242,34820.0,1,West,1
APP-20240,2023-03-22 00:00,82598.44,711.0,0.301,18338.0,5,East,0
APP-20241,2023-03-22 08:00,65013.13,657.0,0.283,31180.0,12,West,1
APP-20242,2023-03-22 16:00,41079.31,714.0,0.231,11132.0,12,West,1
APP-20243,2023-03-23 00:00,74431.31,710.0,0.29,19855.0,20,East,0
APP-20244,2023-03-23 08:00,89482.28,769.0,0.245,9020.0,11,West,0
APP-20245,2023-03-23 16:00,51103.84,733.0,0.358,9852.0,1,East,0
APP-20246,2023-03-24 00:00,61846.82,754.0,0.263,26610.0,20,South,0
APP-20247,2023-03-24 08:00,57277.64,688.0,0.471,26262.0,19,East,1
APP-20248,2023-03-24 16:00,53446.75,779.0,0.274,12468.0,24,South,1
APP-20249,2023-03-25 00:00,51866.57,750.0,0.289,21605.0,11,South,1
APP-20250,2023-03-25 08:00,55303.13,729.0,0.322,35216.0,16,East,0
APP-20251,2023-03-25 16:00,56114.29,629.0,0.347,11097.0,5,North,1
APP-20252,2023-03-26 00:00,59653.05,763.0,0.286,5672.0,6,North,1
APP-20253,2023-03-26 08:00,58563.85,790.0,0.321,27820.0,5,East,1
APP-20254,2023-03-26 16:00,76417.57,711.0,0.295,6872.0,20,East,1
APP-20255,2023-03-27 00:00,75078.14,711.0,0.218,39298.0,3,West,0
APP-20256,2023-03-27 08:00,41997.49,687.0,0.196,26337.0,20,West,1
APP-20257,2023-03-27 16:00,56096.14,637.0,0.336,21464.0,8,East,1
APP-20258,2023-03-28 00:00,83758.36,685.0,0.401,20050.0,4,North,1
APP-20259,2023-03-28 08:00,69410.37,785.0,0.15,25057.0,9,West,0
APP-20260,2023-03-28 16:00,70017.06,759.0,0.165,8172.0,14,West,0
APP-20261,2023-03-29 00:00,68584.68,675.0,0.164,37551.0,7,North,0
APP-20262,2023-03-29 08:00,61075.08,684.0,0.342,26897.0,22,East,1
APP-20263,2023-03-29 16:00,64384.28,806.0,0.349,11439.0,3,North,0
APP-20264,2023-03-30 00:00,58941.52,664.0,0.202,24690.0,4,South,1
APP-20265,2023-03-30 08:00,77836.03,678.0,0.456,9664.0,6,West,0
APP-20266,2023-03-30 16:00,59078.33,691.0,0.249,5614.0,5,West,1
APP-20267,2023-03-31 00:00,63305.65,649.0,0.395,27068.0,12,West,1
APP-20268,2023-03-31 08:00,76030.06,686.0,0.345,27697.0,18,North,1
APP-20269,2023-03-31 16:00,60083.12,686.0,0.203,25429.0,9,North,1
APP-20270,2023-04-01 00:00,63939.2,669.0,0.247,11422.0,14,East,1
APP-20271,2023-04-01 08:00,59627.03,770.0,0.21,26120.0,2,West,0
APP-20272,2023-04-01 16:00,63659.98,657.0,0.172,6978.0,17,South,0
APP-20273,2023-04-02 00:00,60135.17,704.0,0.26,26323.0,13,East,1
APP-20274,2023-04-02 08:00,56962.15,671.0,0.184,24391.0,2,North,1
APP-20275,2023-04-02 16:00,54380.71,701.0,0.266,27934.0,10,South,1
APP-20276,2023-04-03 00:00,62413.24,668.0,0.435,36342.0,9,East,1
APP-20277,2023-04-03 08:00,80273.57,713.0,0.336,34763.0,16,North,1
APP-20278,2023-04-03 16:00,74355.46,724.0,0.235,39323.0,12,South,0
APP-20279,2023-04-04 00:00,41312.27,773.0,0.229,39168.0,24,East,1
APP-20280,2023-04-04 08:00,58562.76,684.0,0.248,32031.0,1,South,1
APP-20281,2023-04-04 16:00,55424.92,783.0,0.446,38475.0,12,North,1
APP-20282,2023-04-05 00:00,41565.15,674.0,0.193,35355.0,18,East,1
APP-20283,2023-04-05 08:00,69129.18,699.0,0.28,30465.0,4,North,0
APP-20284,2023-04-05 16:00,63558.63,789.0,0.317,7638.0,15,West,1
APP-20285,2023-04-06 00:00,95344.13,841.0,0.377,6717.0,9,West,1
APP-20286,2023-04-06 08:00,59989.69,786.0,0.253,34316.0,11,South,1
APP-20287,2023-04-06 16:00,53357.37,700.0,0.203,22138.0,19,West,1
APP-20288,2023-04-07 00:00,51905.93,733.0,0.303,33511.0,12,North,0
APP-20289,2023-04-07 08:00,58226.14,741.0,0.385,15952.0,20,South,1
APP-20290,2023-04-07 16:00,73854.9,726.0,0.258,18918.0,15,East,0
APP-20291,2023-04-08 00:00,75573.02,665.0,0.213,29507.0,21,North,1
APP-20292,2023-04-08 08:00,108892.36,721.0,0.289,37036.0,20,East,0
APP-20293,2023-04-08 16:00,46901.28,687.0,0.15,8072.0,0,East,0
APP-20294,2023-04-09 00:00,66293.52,666.0,0.263,35152.0,21,East,1
APP-20295,2023-04-09 08:00,54735.78,696.0,0.374,32755.0,8,East,0
APP-20296,2023-04-09 16:00,70257.5,724.0,0.35,16044.0,15,North,1
APP-20297,2023-04-10 00:00,85747.36,755.0,0.268,17433.0,18,West,0
APP-20298,2023-04-10 08:00,77931.67,699.0,0.413,6626.0,14,North,0
APP-20299,2023-04-10 16:00,46885.93,706.0,0.433,5551.0,17,West,0
APP-20300,2023-04-11 00:00,75269.86,746.0,0.333,21695.0,21,East,0
APP-20301,2023-04-11 08:00,33299.74,713.0,0.163,8344.0,11,West,0
APP-20302,2023-04-11 16:00,29301.21,727.0,0.13,11790.0,13,East,0
APP-20303,2023-04-12 00:00,61264.24,714.0,0.391,34637.0,2,South,1
APP-20304,2023-04-12 08:00,74160.2,719.0,0.3,24986.0,3,East,1
APP-20305,2023-04-12 16:00,70222.95,661.0,0.411,27177.0,5,West,0
APP-20306,2023-04-13 00:00,93586.82,716.0,0.173,11562.0,15,South,1
APP-20307,2023-04-13 08:00,66639.9,774.0,0.267,34003.0,12,South,0
APP-20308,2023-04-13 16:00,63397.12,718.0,0.362,35379.0,11,East,1
APP-20309,2023-04-14 00:00,82327.89,672.0,0.222,23316.0,21,North,1
APP-20310,2023-04-14 08:00,59388.01,776.0,0.361,36940.0,11,West,0
APP-20311,2023-04-14 16:00,70831.22,742.0,0.27,34569.0,1,South,0
APP-20312,2023-04-15 00:00,71734.64,745.0,0.282,30596.0,12,North,0
APP-20313,2023-04-15 08:00,50423.48,743.0,0.185,30693.0,2,East,1
APP-20314,2023-04-15 16:00,70812.0,659.0,0.3,8689.0,12,East,1
APP-20315,2023-04-16 00:00,97775.4,739.0,0.455,14479.0,24,East,1
APP-20316,2023-04-16 08:00,82049.75,772.0,0.311,7340.0,1,East,1
APP-20317,2023-04-16 16:00,52410.66,688.0,0.217,5304.0,18,West,1
APP-20318,2023-04-17 00:00,100079.76,623.0,0.392,10541.0,8,South,1
APP-20319,2023-04-17 08:00,75339.05,726.0,0.219,35817.0,19,West,1
APP-20320,2023-04-17 16:00,71363.74,711.0,0.418,13396.0,0,South,1
APP-20321,2023-04-18 00:00,63541.68,640.0,0.178,38955.0,12,North,1
APP-20322,2023-04-18 08:00,75240.58,737.0,0.302,25905.0,1,North,1
APP-20323,2023-04-18 16:00,66676.77,734.0,0.402,13304.0,14,South,1
APP-20324,2023-04-19 00:00,65294.67,644.0,0.211,22400.0,18,East,0
APP-20325,2023-04-19 08:00,63003.37,795.0,0.287,12668.0,24,North,0
APP-20326,2023-04-19 16:00,79606.5,744.0,0.373,39439.0,24,West,1
APP-20327,2023-04-20 00:00,77944.1,625.0,0.1,34654.0,15,South,1
APP-20328,2023-04-20 08:00,62759.09,747.0,0.354,5918.0,10,North,0
APP-20329,2023-04-20 16:00,42215.23,746.0,0.273,38172.0,14,South,0
APP-20330,2023-04-21 00:00,65540.99,774.0,0.395,30237.0,5,East,0
APP-20331,2023-04-21 08:00,54231.85,682.0,0.214,7883.0,13,South,1
APP-20332,2023-04-21 16:00,57896.31,747.0,0.169,28472.0,5,North,0
APP-20333,2023-04-22 00:00,63127.21,699.0,0.237,27642.0,18,South,0
APP-20334,2023-04-22 08:00,49095.26,685.0,0.235,12658.0,4,North,1
APP-20335,2023-04-22 16:00,40845.53,671.0,0.263,31546.0,10,North,0
APP-20336,2023-04-23 00:00,69379.6,624.0,0.243,8047.0,3,North,1
APP-20337,2023-04-23 08:00,65402.44,734.0,0.119,22131.0,8,West,1
APP-20338,2023-04-23 16:00,64828.86,698.0,0.272,5347.0,8,East,0
