passenger_id,pclass,sex,age,sibsp,parch,fare,embarked,survived
453,1,male,17.8,1,0,91.86,S,0
454,2,male,24.7,0,0,42.19,S,1
455,1,male,,0,0,98.38,S,0
456,3,male,30.1,1,1,26.89,S,0
457,3,male,33.3,0,0,18.3,S,0
458,1,female,15.9,0,1,93.4,S,1
459,3,female,,0,0,24.25,S,0
460,2,male,30.9,0,2,52.42,S,0
461,2,female,18.6,0,2,46.59,S,0
462,1,female,7.2,0,0,86.89,C,1
463,1,male,30.8,0,0,89.23,S,1
464,3,male,26.4,0,1,12.41,C,0
465,2,female,41.0,0,0,25.12,S,1
466,2,male,28.0,1,1,28.81,S,1
467,3,male,13.3,0,0,36.09,S,0
468,3,male,53.4,1,0,47.27,S,0
469,2,male,36.1,0,0,32.46,S,1
470,3,female,26.4,0,1,24.42,S,0
471,3,female,32.3,0,0,30.37,S,1
472,1,male,36.6,1,1,130.84,S,0
473,3,female,,1,0,48.62,S,0
474,3,male,32.2,1,0,12.88,C,0
475,3,female,23.7,0,2,16.28,S,1
476,3,male,37.1,1,1,12.76,Q,0
477,3,male,19.6,0,2,26.38,Q,0
478,3,male,21.5,1,0,30.59,C,0
479,1,male,,0,0,90.53,S,0
480,2,male,,0,0,53.85,S,0
481,3,male,,0,0,21.04,Q,0
482,2,male,,0,0,121.39,S,0
483,3,male,,0,0,753.99,S,0
484,2,female,20.1,0,1,26.74,S,0
485,3,male,15.9,0,0,17.39,S,0
486,3,female,16.7,2,2,12.39,C,1
487,3,female,20.5,0,0,34.87,C,0
488,2,male,14.2,1,2,25.81,C,1
489,1,male,11.0,2,0,105.73,S,1
490,3,female,15.4,2,1,12.81,S,1
491,3,male,34.5,1,0,16.37,S,0
492,3,female,30.7,1,1,39.61,S,0
493,2,male,37.8,0,0,70.27,S,0
494,1,male,,0,0,93.03,S,1
495,3,male,11.7,0,0,64.57,S,1
496,3,male,36.9,0,0,26.79,S,0
497,2,female,15.9,0,1,33.06,Q,0
498,3,female,39.1,0,0,36.35,Q,0
499,2,female,,0,0,30.25,S,0
500,3,male,20.4,1,0,16.63,S,0
501,3,male,,0,2,28.03,C,0
502,1,male,,0,2,92.43,Q,1
503,3,female,,0,0,14.19,C,0
504,1,male,30.3,0,0,86.04,S,0
505,2,male,,2,0,48.26,S,0
506,3,female,4.3,0,0,28.9,S,1
507,1,male,15.5,0,0,92.96,S,1
508,3,male,14.9,0,0,45.98,S,0
509,2,male,5.2,0,0,32.94,C,1
510,3,male,,0,0,30.58,S,0
511,1,female,39.6,0,0,120.97,C,1
512,3,male,21.7,0,0,39.56,S,0
513,3,male,25.3,0,0,22.73,S,0
514,3,male,5.9,1,0,29.12,S,0
515,3,male,,0,0,20.01,S,0
516,2,male,23.5,0,0,927.54,C,1
517,1,male,39.0,0,1,89.47,S,0
518,3,male,6.6,0,0,20.56,C,0
519,3,male,23.6,1,1,15.53,Q,1
520,1,female,45.2,0,0,85.58,C,1
521,1,male,23.8,4,0,98.32,S,0
522,3,female,1.0,0,0,41.97,S,1
523,3,male,47.9,1,0,773.44,S,0
524,3,male,40.3,0,0,15.27,S,0
525,1,female,42.2,0,0,94.25,Q,1
526,2,male,5.6,0,2,41.44,S,0
527,1,male,51.2,0,0,87.82,C,0
528,3,male,19.2,0,0,12.88,C,0
529,3,male,22.9,0,0,22.98,Q,0
530,3,male,20.2,1,0,37.61,S,0
531,3,male,,0,0,12.54,S,0
532,1,female,27.5,0,0,91.45,S,1
533,2,male,36.7,1,1,41.34,C,0
534,3,female,,0,0,14.1,S,1
535,1,male,28.7,1,0,89.04,S,0
536,2,male,16.7,0,0,36.5,S,0
537,3,female,,0,0,57.94,S,1
538,3,male,9.5,0,0,17.08,S,0
539,3,female,35.8,2,1,22.03,S,0
540,2,male,35.3,1,0,32.66,Q,0
541,3,male,46.2,4,1,46.15,S,0
542,3,female,49.4,0,2,13.12,C,0
543,3,female,28.1,1,0,24.53,S,0
544,3,female,37.4,0,0,40.07,S,0
545,3,female,54.7,0,0,78.49,C,0
546,1,female,29.1,1,0,103.0,S,1
547,3,male,,0,0,19.17,C,0
548,2,female,24.6,0,1,32.96,S,1
549,1,female,,0,0,91.5,S,1
550,1,male,35.2,1,1,98.88,S,0
551,3,male,44.9,0,1,32.17,S,0
552,2,female,28.3,0,1,50.68,C,1
553,3,male,7.3,4,0,20.08,S,0
554,3,male,44.3,0,1,30.92,C,0
555,1,male,,0,0,122.19,S,1
556,3,male,8.4,0,0,50.04,S,0
557,1,male,27.5,1,2,103.26,S,0
558,2,female,33.5,0,2,40.2,S,0
559,3,female,35.9,0,0,23.37,C,1
560,3,male,29.1,0,1,15.04,S,0
561,3,female,54.6,0,0,13.98,S,1
562,3,male,30.9,0,0,21.97,S,0
563,3,male,,0,0,14.61,S,0
564,2,male,41.0,0,0,37.91,S,1
565,3,female,,2,0,27.56,S,0
566,3,male,,1,0,23.19,S,0
567,1,male,,2,0,630.54,S,1
568,3,male,22.9,0,0,12.89,C,0
569,3,female,20.6,0,0,13.8,S,1
570,2,female,32.4,0,0,27.5,S,1
571,3,male,23.4,1,0,80.9,S,0
572,1,male,18.9,0,0,91.34,C,1
573,3,female,23.2,4,0,17.18,S,1
574,2,female,,0,0,25.81,Q,1
575,3,male,28.1,0,0,27.13,S,0
576,3,female,11.4,0,0,27.84,S,1
577,3,female,8.8,0,1,14.89,S,0
578,1,male,60.9,0,0,122.74,C,0
579,2,male,26.9,0,0,49.18,S,1
580,1,male,36.1,0,0,88.93,S,1
581,3,female,19.2,0,0,21.98,S,1
582,2,male,34.5,0,0,34.2,S,1
583,3,male,50.4,1,2,18.43,S,0
584,3,female,20.9,0,0,37.53,S,0
585,3,female,,0,0,13.74,S,0
586,1,male,,0,0,93.05,C,1
587,3,male,58.3,1,0,20.38,S,0
588,1,male,33.8,0,2,94.49,S,1
589,3,male,24.2,2,0,41.64,S,0
590,3,female,25.8,0,0,15.69,Q,0
591,1,male,22.9,0,0,86.63,C,1
592,1,male,23.6,0,0,99.43,C,1
593,3,female,,0,0,14.86,S,0
594,2,male,28.6,0,0,26.17,S,0
595,3,male,28.0,1,0,20.34,S,0
596,2,male,36.8,0,0,28.72,C,0
597,3,female,22.7,0,0,18.72,S,1
598,3,male,,1,2,16.51,S,0
599,3,male,29.9,0,0,13.46,S,0
600,3,male,,0,0,24.33,S,0
601,3,female,,4,0,12.41,C,0
602,1,male,3.9,0,0,135.89,C,0
603,3,male,,0,0,18.26,S,0
604,1,female,39.6,1,0,102.82,S,1
605,2,female,17.0,0,0,685.03,S,1
606,3,female,,1,0,16.91,S,1
607,3,male,,0,0,32.72,S,0
608,1,female,15.9,0,0,111.79,Q,1
609,3,male,,0,0,16.14,S,0
610,3,male,34.4,0,0,85.38,C,0
611,1,male,18.9,0,1,85.31,C,1
612,3,male,45.3,0,0,15.67,Q,0
613,3,male,30.2,1,0,34.71,S,0
614,1,male,20.2,1,0,88.24,S,0
615,3,female,55.2,1,0,29.97,Q,0
616,3,male,38.1,1,0,41.02,C,0
617,3,male,1.0,0,0,59.99,C,0
618,1,male,23.2,1,0,94.64,C,0
619,3,female,10.6,0,0,65.16,S,1
620,1,male,18.8,0,2,92.96,S,1
621,2,male,,1,0,28.69,S,1
622,1,male,,0,0,95.82,S,0
623,3,female,33.7,1,0,27.74,S,0
624,3,male,45.1,0,0,21.19,S,0
625,1,male,38.9,0,0,97.55,S,0
626,1,male,38.0,0,0,93.08,S,1
627,2,female,32.8,0,0,36.16,S,1
628,1,male,48.0,1,0,130.74,S,1
629,3,female,25.6,4,1,22.39,C,1
630,3,male,25.9,0,2,16.38,C,0
631,3,female,,0,0,33.33,S,0
632,3,male,44.8,0,1,18.18,S,0
633,3,male,28.9,1,1,37.41,C,0
634,1,male,71.1,0,2,85.88,S,0
635,2,male,24.3,2,0,31.06,S,0
636,3,male,,0,0,13.49,S,0
637,3,male,37.7,1,0,13.34,S,1
638,3,female,,0,0,28.11,S,0
639,3,male,35.0,1,0,19.3,S,0
640,3,female,30.5,0,0,42.77,S,1
641,1,male,25.7,1,0,95.9,S,0
642,2,female,46.4,1,1,906.53,C,0
643,3,male,17.3,0,0,31.14,S,0
644,3,male,33.8,0,0,26.67,S,1
645,2,male,50.4,2,0,49.11,S,0
646,3,female,20.1,2,1,27.48,Q,1
647,3,female,25.8,0,2,14.74,S,0
648,3,male,,0,0,28.64,S,0
649,1,male,36.6,0,0,92.45,S,0
