candidate_id,gender,department,experience_years,technical_score,hired
CAND-0126,Female,Sales,12,82.5,1
CAND-0127,Female,Engineering,12,88.6,1
CAND-0128,Male,Marketing,3,80.6,1
CAND-0129,Female,Engineering,1,72.0,1
CAND-0130,Female,Design,3,55.4,0
CAND-0131,Male,Design,1,87.1,1
CAND-0132,Male,Engineering,3,78.7,1
CAND-0133,Male,Engineering,4,100.0,1
CAND-0134,Male,Marketing,11,52.7,1
CAND-0135,Non-Binary,Sales,13,82.9,0
CAND-0136,Male,Marketing,11,78.2,1
CAND-0137,Male,Marketing,14,64.9,1
CAND-0138,Female,Design,14,90.5,1
CAND-0139,Male,Design,8,76.0,1
CAND-0140,Male,Engineering,3,55.9,1
CAND-0141,Male,Design,3,68.2,1
CAND-0142,Male,Marketing,13,55.8,1
CAND-0143,Male,Engineering,9,63.0,1
CAND-0144,Female,Engineering,11,80.6,1
CAND-0145,Male,Design,9,84.8,0
CAND-0146,Male,Sales,6,73.3,1
CAND-0147,Male,Design,10,58.7,0
CAND-0148,Male,Engineering,4,75.7,1
CAND-0149,Female,Engineering,10,80.9,1
CAND-0150,Male,Sales,5,40.4,0
CAND-0151,Female,Marketing,13,71.7,1
CAND-0152,Male,Engineering,9,67.1,0
CAND-0153,Female,Sales,1,84.3,1
CAND-0154,Female,Marketing,7,75.8,1
CAND-0155,Male,Design,11,77.3,1
CAND-0156,Non-Binary,Sales,7,62.8,1
CAND-0157,Male,Marketing,10,70.0,1
CAND-0158,Female,Engineering,1,84.2,1
CAND-0159,Male,Engineering,14,69.0,1
CAND-0160,Male,Sales,1,72.6,0
CAND-0161,Male,Design,14,47.0,1
CAND-0162,Female,Sales,9,69.0,1
CAND-0163,Female,Engineering,7,39.8,1
CAND-0164,Male,Marketing,4,62.3,1
CAND-0165,Female,Design,9,71.0,1
CAND-0166,Female,Marketing,12,81.5,0
CAND-0167,Female,Sales,5,55.0,1
CAND-0168,Male,Sales,3,75.6,1
CAND-0169,Male,Marketing,2,92.0,1
CAND-0170,Male,Marketing,9,60.4,1
CAND-0171,Male,Marketing,4,46.8,1
CAND-0172,Male,Sales,7,74.3,1
CAND-0173,Male,Marketing,1,52.1,1
CAND-0174,Non-Binary,Engineering,9,57.7,1
CAND-0175,Female,Marketing,12,83.9,1
CAND-0176,Female,Engineering,9,98.2,1
CAND-0177,Female,Engineering,10,55.0,1
CAND-0178,Female,Marketing,6,58.9,0
CAND-0179,Male,Design,6,63.4,1
CAND-0180,Female,Design,14,61.8,1
CAND-0181,Male,Design,6,99.0,1
CAND-0182,Male,Engineering,5,62.0,0
CAND-0183,Male,Design,11,64.2,0
CAND-0184,Male,Design,1,94.2,0
CAND-0185,Female,Marketing,4,78.7,0
CAND-0186,Female,Sales,10,84.8,1
CAND-0187,Male,Engineering,1,56.4,1
CAND-0188,Male,Sales,5,62.0,0
CAND-0189,Male,Engineering,13,54.4,1
CAND-0190,Female,Engineering,4,82.0,1
CAND-0191,Male,Design,8,88.4,1
CAND-0192,Non-Binary,Marketing,1,61.0,0
CAND-0193,Male,Sales,8,64.5,1
CAND-0194,Non-Binary,Sales,14,65.2,1
CAND-0195,Male,Design,8,46.8,0
CAND-0196,Male,Sales,1,59.9,1
CAND-0197,Male,Sales,9,81.6,1
CAND-0198,Female,Engineering,13,56.9,0
CAND-0199,Male,Marketing,9,71.4,0
CAND-0200,Female,Marketing,6,50.4,1
CAND-0201,Male,Sales,1,67.8,1
CAND-0202,Female,Sales,7,61.6,1
CAND-0203,Male,Engineering,7,51.7,1
CAND-0204,Male,Design,9,81.9,1
CAND-0205,Male,Engineering,1,82.7,0
CAND-0206,Non-Binary,Design,14,55.5,0
CAND-0207,Male,Design,8,66.8,0
CAND-0208,Male,Engineering,14,70.7,1
CAND-0209,Male,Marketing,12,42.8,1
CAND-0210,Female,Engineering,13,49.0,1
CAND-0211,Male,Design,11,89.3,1
CAND-0212,Female,Marketing,8,54.0,1
CAND-0213,Male,Marketing,7,88.9,1
CAND-0214,Male,Engineering,12,49.8,0
CAND-0215,Male,Marketing,6,79.9,0
CAND-0216,Male,Marketing,1,65.3,0
CAND-0217,Male,Engineering,11,67.4,1
CAND-0218,Male,Sales,10,97.8,1
CAND-0219,Male,Marketing,11,51.2,0
CAND-0220,Female,Engineering,8,78.9,1
CAND-0221,Male,Engineering,12,78.3,1
CAND-0222,Male,Sales,5,100.0,1
CAND-0223,Female,Marketing,4,53.8,1
CAND-0224,Male,Design,5,60.6,0
CAND-0225,Male,Design,5,82.2,1
CAND-0226,Female,Marketing,14,67.0,0
CAND-0227,Male,Marketing,13,63.1,1
CAND-0228,Male,Engineering,10,84.4,1
CAND-0229,Male,Engineering,3,66.0,0
CAND-0230,Male,Design,4,56.6,1
CAND-0231,Non-Binary,Marketing,4,80.9,1
CAND-0232,Male,Engineering,8,75.6,1
CAND-0233,Female,Design,5,65.3,0
CAND-0234,Female,Design,6,64.6,1
CAND-0235,Female,Sales,10,56.3,1
CAND-0236,Female,Marketing,2,80.9,1
CAND-0237,Male,Sales,9,64.6,1
CAND-0238,Male,Engineering,8,58.5,0
CAND-0239,Female,Engineering,8,50.7,1
CAND-0240,Male,Design,10,75.9,1
CAND-0241,Male,Engineering,5,62.4,0
CAND-0242,Male,Sales,5,39.8,0
CAND-0243,Male,Marketing,3,52.0,1
CAND-0244,Female,Design,13,66.5,1
CAND-0245,Female,Design,11,66.9,1
CAND-0246,Female,Engineering,2,66.3,1
CAND-0247,Male,Design,9,64.3,0
CAND-0248,Male,Design,6,47.9,0
CAND-0249,Male,Marketing,8,56.9,0
CAND-0250,Male,Design,4,87.8,1
CAND-0251,Male,Marketing,5,85.5,1
CAND-0252,Male,Sales,10,78.7,1
CAND-0253,Male,Design,5,77.3,0
CAND-0254,Female,Sales,11,83.6,1
CAND-0255,Male,Marketing,10,53.2,1
CAND-0256,Male,Design,4,70.5,1
CAND-0257,Female,Engineering,11,53.2,1
CAND-0258,Male,Engineering,2,53.5,0
CAND-0259,Male,Design,14,75.5,1
CAND-0260,Female,Marketing,6,84.2,1
CAND-0261,Female,Engineering,4,67.1,0
CAND-0262,Female,Sales,14,94.7,1
CAND-0263,Male,Marketing,11,73.2,0
CAND-0264,Non-Binary,Marketing,4,58.3,0
CAND-0265,Male,Design,10,53.7,1
CAND-0266,Non-Binary,Sales,3,85.3,0
CAND-0267,Female,Marketing,8,71.9,1
CAND-0268,Female,Design,6,80.1,0
CAND-0269,Female,Sales,9,30.1,1
CAND-0270,Female,Marketing,5,73.7,1
CAND-0271,Male,Engineering,6,62.3,0
CAND-0272,Male,Sales,9,49.1,0
CAND-0273,Female,Marketing,4,69.1,0
CAND-0274,Male,Sales,10,86.4,1
CAND-0275,Female,Engineering,7,100.0,1
CAND-0276,Female,Marketing,13,73.6,1
CAND-0277,Female,Engineering,10,59.4,0
CAND-0278,Male,Design,12,58.5,1
CAND-0279,Male,Design,10,84.4,1
CAND-0280,Female,Marketing,11,55.0,1
CAND-0281,Male,Marketing,11,79.3,1
CAND-0282,Female,Sales,6,74.4,1
CAND-0283,Female,Marketing,6,72.7,0
CAND-0284,Male,Design,6,46.5,0
CAND-0285,Female,Marketing,14,64.6,1
CAND-0286,Male,Sales,4,48.1,0
CAND-0287,Male,Design,10,61.2,1
CAND-0288,Male,Marketing,6,83.8,1
CAND-0289,Female,Engineering,12,88.5,1
CAND-0290,Female,Engineering,7,73.2,1
CAND-0291,Male,Engineering,13,61.4,1
CAND-0292,Male,Engineering,14,93.8,1
CAND-0293,Male,Sales,2,61.2,0
CAND-0294,Male,Engineering,11,53.0,1
CAND-0295,Male,Engineering,9,80.4,1
CAND-0296,Female,Marketing,7,76.9,1
CAND-0297,Non-Binary,Engineering,3,61.9,0
CAND-0298,Male,Engineering,10,71.5,1
CAND-0299,Female,Marketing,10,76.6,0
CAND-0300,Female,Design,7,73.1,1
CAND-0301,Non-Binary,Sales,10,76.9,1
CAND-0302,Male,Sales,10,62.4,1
CAND-0303,Female,Design,14,77.9,1
CAND-0304,Female,Marketing,5,70.3,1
CAND-0305,Female,Design,9,62.9,1
CAND-0306,Female,Sales,6,66.3,0
CAND-0307,Male,Sales,11,68.5,1
CAND-0308,Female,Design,13,48.3,1
CAND-0309,Male,Engineering,7,60.5,0
CAND-0310,Male,Sales,4,71.0,1
CAND-0311,Male,Design,2,49.7,1
CAND-0312,Male,Engineering,11,60.7,1
CAND-0313,Male,Engineering,4,100.0,0
CAND-0314,Male,Marketing,9,53.1,0
CAND-0315,Male,Design,3,64.2,1
CAND-0316,Male,Sales,7,57.5,1
CAND-0317,Male,Marketing,13,68.2,1
CAND-0318,Female,Sales,14,57.8,1
CAND-0319,Male,Engineering,4,66.4,1
CAND-0320,Female,Design,3,59.2,1
CAND-0321,Male,Engineering,14,85.8,1
CAND-0322,Female,Engineering,14,71.2,1
CAND-0323,Non-Binary,Engineering,14,55.0,1
CAND-0324,Male,Design,5,82.6,0
CAND-0325,Male,Marketing,2,55.6,0
CAND-0326,Female,Sales,11,46.5,0
CAND-0327,Female,Engineering,14,70.0,0
CAND-0328,Male,Sales,10,98.6,1
CAND-0329,Female,Sales,14,42.6,1
CAND-0330,Male,Marketing,4,50.0,1
CAND-0331,Female,Design,7,81.3,1
CAND-0332,Male,Sales,12,60.4,1
CAND-0333,Male,Marketing,12,79.2,1
CAND-0334,Male,Sales,2,57.4,1
CAND-0335,Male,Engineering,10,72.1,1
CAND-0336,Non-Binary,Marketing,6,96.2,1
CAND-0337,Female,Design,5,52.1,1
CAND-0338,Female,Design,3,85.4,1
CAND-0339,Non-Binary,Engineering,5,80.2,1
CAND-0340,Male,Engineering,10,47.7,1
CAND-0341,Male,Sales,7,78.4,0
CAND-0342,Female,Marketing,3,71.1,0
CAND-0343,Female,Marketing,8,71.4,1
CAND-0344,Female,Marketing,7,75.0,1
CAND-0345,Male,Marketing,4,64.7,0
CAND-0346,Female,Sales,13,71.1,1
CAND-0347,Male,Marketing,13,73.6,1
CAND-0348,Female,Marketing,5,81.2,1
CAND-0349,Non-Binary,Design,10,47.1,1
CAND-0350,Female,Design,11,89.4,1
CAND-0351,Male,Sales,4,52.7,1
CAND-0352,Male,Engineering,2,81.4,1
CAND-0353,Male,Design,12,71.2,0
CAND-0354,Female,Engineering,9,50.8,1
CAND-0355,Male,Sales,1,77.9,1
CAND-0356,Non-Binary,Design,8,55.8,0
CAND-0357,Female,Design,4,86.0,1
CAND-0358,Non-Binary,Sales,9,59.3,1
CAND-0359,Male,Marketing,3,47.6,0
CAND-0360,Female,Sales,7,93.0,1
CAND-0361,Female,Engineering,3,72.7,0
CAND-0362,Female,Engineering,10,83.0,1
CAND-0363,Male,Marketing,12,57.2,1
CAND-0364,Male,Sales,7,41.6,0
CAND-0365,Female,Sales,2,95.1,1
CAND-0366,Male,Marketing,3,69.9,1
CAND-0367,Male,Sales,8,77.4,1
CAND-0368,Female,Design,7,79.8,1
CAND-0369,Male,Sales,11,65.0,1
CAND-0370,Male,Design,3,73.4,1
CAND-0371,Male,Sales,8,93.9,1
CAND-0372,Female,Design,13,69.5,1
CAND-0373,Female,Engineering,9,84.1,1
CAND-0374,Male,Marketing,2,40.1,0
CAND-0375,Male,Engineering,2,86.9,0
CAND-0376,Female,Design,7,47.2,1
CAND-0377,Male,Marketing,11,85.1,0
CAND-0378,Male,Engineering,8,75.9,1
CAND-0379,Male,Engineering,5,68.6,0
CAND-0380,Male,Design,2,68.5,1
CAND-0381,Female,Sales,14,66.2,1
CAND-0382,Female,Sales,10,57.7,0
CAND-0383,Female,Design,5,66.9,1
CAND-0384,Male,Engineering,3,100.0,1
CAND-0385,Male,Sales,13,89.5,1
CAND-0386,Male,Sales,9,56.9,1
CAND-0387,Male,Engineering,2,74.0,1
CAND-0388,Male,Design,9,71.4,1
CAND-0389,Female,Design,2,67.9,1
CAND-0390,Male,Sales,1,55.0,1
CAND-0391,Female,Design,10,76.7,1
CAND-0392,Male,Engineering,6,82.7,1
CAND-0393,Male,Design,11,57.5,0
CAND-0394,Male,Marketing,6,99.3,1
CAND-0395,Female,Design,4,92.8,1
CAND-0396,Female,Design,13,78.2,1
CAND-0397,Female,Design,2,51.5,0
CAND-0398,Male,Marketing,13,76.0,1
CAND-0399,Female,Engineering,10,74.2,1
CAND-0400,Male,Design,12,77.7,1
CAND-0401,Female,Sales,11,93.9,1
CAND-0402,Female,Design,3,67.4,1
CAND-0403,Female,Marketing,13,100.0,1
CAND-0404,Male,Marketing,6,76.1,0
CAND-0405,Female,Sales,4,65.6,1
CAND-0406,Female,Marketing,5,100.0,1
CAND-0407,Male,Marketing,11,82.4,1
CAND-0408,Male,Marketing,9,63.2,1
CAND-0409,Male,Engineering,5,71.3,1
CAND-0410,Male,Marketing,10,79.5,0
CAND-0411,Male,Design,11,67.7,1
CAND-0412,Male,Sales,8,72.0,0
CAND-0413,Male,Design,2,57.7,0
CAND-0414,Male,Design,12,44.7,1
CAND-0415,Female,Sales,14,71.6,1
CAND-0416,Male,Engineering,6,72.1,1
CAND-0417,Non-Binary,Engineering,11,77.9,1
CAND-0418,Male,Marketing,11,61.4,1
CAND-0419,Female,Engineering,6,49.9,1
CAND-0420,Male,Engineering,5,55.5,1
CAND-0421,Male,Marketing,6,85.8,1
CAND-0422,Male,Engineering,14,60.0,1
CAND-0423,Female,Engineering,5,63.4,0
CAND-0424,Female,Marketing,2,65.3,0
CAND-0425,Female,Design,5,60.7,0
CAND-0426,Male,Design,1,59.6,0
CAND-0427,Male,Sales,3,56.9,1
CAND-0428,Female,Engineering,14,91.0,1
CAND-0429,Male,Marketing,7,80.2,1
CAND-0430,Male,Marketing,4,88.7,0
CAND-0431,Male,Engineering,8,91.7,1
CAND-0432,Male,Engineering,3,34.8,0
CAND-0433,Male,Marketing,7,75.2,0
CAND-0434,Male,Marketing,14,61.2,1
CAND-0435,Female,Marketing,2,86.8,1
CAND-0436,Male,Sales,14,58.9,1
CAND-0437,Non-Binary,Design,8,54.2,1
CAND-0438,Male,Marketing,13,48.5,1
CAND-0439,Male,Design,3,65.5,0
CAND-0440,Female,Engineering,13,83.7,1
CAND-0441,Female,Design,6,73.8,0
CAND-0442,Female,Design,2,52.0,0
CAND-0443,Female,Design,7,100.0,1
CAND-0444,Female,Engineering,13,79.7,1
CAND-0445,Female,Design,4,81.7,1
CAND-0446,Female,Design,6,89.3,0
CAND-0447,Female,Sales,2,45.4,0
CAND-0448,Male,Engineering,3,56.3,1
CAND-0449,Female,Design,3,82.3,1
CAND-0450,Male,Engineering,4,57.8,0
CAND-0451,Female,Marketing,1,65.9,0
CAND-0452,Male,Design,13,68.8,1
CAND-0453,Male,Engineering,6,50.8,1
CAND-0454,Female,Design,11,64.6,1
CAND-0455,Male,Design,6,83.7,1
CAND-0456,Female,Marketing,4,80.9,1
CAND-0457,Male,Sales,8,86.7,1
CAND-0458,Male,Engineering,5,85.1,1
CAND-0459,Female,Design,10,76.1,0
CAND-0460,Male,Marketing,14,74.9,0
CAND-0461,Female,Marketing,4,73.8,1
CAND-0462,Male,Sales,7,60.6,1
CAND-0463,Female,Sales,10,54.6,1
CAND-0464,Female,Marketing,10,59.7,1
CAND-0465,Female,Marketing,8,65.1,1
CAND-0466,Female,Engineering,2,60.2,0
CAND-0467,Male,Engineering,13,76.2,1
CAND-0468,Female,Marketing,1,73.0,1
CAND-0469,Female,Marketing,6,74.6,1
CAND-0470,Male,Sales,2,75.3,1
CAND-0471,Male,Engineering,11,87.9,0
CAND-0472,Female,Marketing,8,69.9,1
CAND-0473,Female,Engineering,13,85.1,1
CAND-0474,Male,Engineering,5,77.7,0
CAND-0475,Male,Marketing,2,86.9,1
CAND-0476,Male,Marketing,11,94.2,1
CAND-0477,Male,Design,12,78.6,1
CAND-0478,Male,Engineering,5,71.6,1
CAND-0479,Male,Engineering,2,71.5,1
CAND-0480,Male,Sales,6,62.9,0
CAND-0481,Female,Sales,8,62.4,1
CAND-0482,Female,Sales,2,83.5,1
CAND-0483,Male,Engineering,6,55.5,1
CAND-0484,Male,Marketing,6,94.2,1
CAND-0485,Female,Marketing,1,67.7,0
CAND-0486,Female,Marketing,9,100.0,1
CAND-0487,Female,Engineering,12,59.6,0
CAND-0488,Female,Marketing,8,73.8,1
CAND-0489,Male,Sales,12,64.7,1
CAND-0490,Male,Marketing,14,58.1,1
CAND-0491,Female,Marketing,4,86.0,0
CAND-0492,Male,Sales,7,53.4,1
CAND-0493,Male,Design,4,59.9,1
CAND-0494,Male,Design,8,78.8,0
CAND-0495,Male,Design,10,81.2,1
CAND-0496,Female,Engineering,2,49.1,1
CAND-0497,Male,Engineering,2,78.7,1
CAND-0498,Male,Sales,3,71.9,0
CAND-0499,Female,Design,14,56.2,1
CAND-0500,Non-Binary,Engineering,4,58.2,0
CAND-0501,Female,Marketing,11,39.5,1
CAND-0502,Female,Design,13,95.8,1
CAND-0503,Male,Design,6,85.2,1
CAND-0504,Male,Engineering,5,50.7,0
CAND-0505,Male,Design,10,82.0,1
CAND-0506,Male,Sales,13,61.4,1
CAND-0507,Male,Sales,10,83.7,1
CAND-0508,Male,Engineering,7,62.6,1
CAND-0509,Female,Design,6,64.5,1
CAND-0510,Female,Sales,14,65.7,1
CAND-0511,Female,Design,4,60.1,0
CAND-0512,Male,Sales,11,91.0,1
CAND-0513,Female,Sales,10,83.5,1
CAND-0514,Male,Design,9,71.6,0
CAND-0515,Female,Engineering,7,85.4,1
CAND-0516,Male,Engineering,1,45.6,0
CAND-0517,Male,Engineering,8,51.6,1
CAND-0518,Female,Design,4,77.1,1
CAND-0519,Female,Design,7,81.0,0
CAND-0520,Non-Binary,Design,11,74.2,1
CAND-0521,Male,Engineering,2,41.8,1
CAND-0522,Female,Design,12,54.1,0
CAND-0523,Male,Engineering,3,76.2,1
CAND-0524,Male,Sales,1,100.0,1
CAND-0525,Female,Engineering,2,88.3,1
CAND-0526,Female,Engineering,11,93.7,0
CAND-0527,Female,Marketing,5,75.1,1
CAND-0528,Male,Marketing,2,75.0,1
CAND-0529,Male,Engineering,13,54.5,1
CAND-0530,Male,Marketing,6,84.3,0
CAND-0531,Male,Design,6,68.9,0
CAND-0532,Female,Marketing,6,80.4,1
CAND-0533,Male,Marketing,12,70.5,1
CAND-0534,Female,Marketing,11,74.2,1
CAND-0535,Female,Engineering,14,68.7,1
CAND-0536,Female,Sales,3,73.4,0
CAND-0537,Male,Sales,11,85.0,1
CAND-0538,Male,Sales,3,51.0,0
CAND-0539,Male,Sales,10,47.6,0
CAND-0540,Male,Sales,7,76.4,1
CAND-0541,Female,Sales,13,91.6,1
CAND-0542,Female,Engineering,13,95.4,1
CAND-0543,Female,Design,4,51.6,0
CAND-0544,Female,Design,6,64.0,0
CAND-0545,Female,Sales,12,47.8,1
CAND-0546,Male,Marketing,8,61.7,0
CAND-0547,Male,Marketing,3,86.8,0
CAND-0548,Male,Engineering,9,69.8,0
CAND-0549,Non-Binary,Sales,9,64.4,1
CAND-0550,Male,Sales,3,78.2,1
CAND-0551,Male,Marketing,6,58.1,0
CAND-0552,Female,Sales,5,93.9,1
CAND-0553,Male,Sales,4,70.1,1
CAND-0554,Female,Marketing,8,64.0,1
CAND-0555,Female,Design,10,78.8,1
CAND-0556,Male,Design,9,84.1,1
CAND-0557,Female,Engineering,12,93.9,1
CAND-0558,Male,Marketing,9,66.9,1
CAND-0559,Female,Engineering,5,86.3,1
CAND-0560,Male,Sales,5,71.5,0
CAND-0561,Male,Marketing,11,60.8,1
CAND-0562,Female,Design,3,58.3,0
CAND-0563,Male,Sales,9,53.5,1
CAND-0564,Female,Design,1,58.9,0
CAND-0565,Male,Design,12,86.7,1
CAND-0566,Female,Engineering,3,80.6,0
CAND-0567,Male,Marketing,7,51.4,1
CAND-0568,Female,Marketing,7,43.8,1
CAND-0569,Male,Marketing,5,53.3,1
CAND-0570,Male,Engineering,6,58.3,1
CAND-0571,Female,Design,4,65.5,0
CAND-0572,Female,Engineering,8,87.6,1
CAND-0573,Female,Marketing,4,61.8,0
CAND-0574,Male,Sales,10,95.2,1
CAND-0575,Female,Marketing,6,44.8,1
CAND-0576,Male,Marketing,5,64.8,0
CAND-0577,Female,Design,12,81.8,1
CAND-0578,Male,Marketing,14,82.7,1
CAND-0579,Male,Marketing,10,65.0,0
CAND-0580,Female,Design,6,85.0,1
CAND-0581,Female,Marketing,3,82.2,1
CAND-0582,Female,Marketing,13,59.8,0
CAND-0583,Female,Design,3,74.7,1
CAND-0584,Female,Sales,10,80.6,1
CAND-0585,Male,Design,7,60.8,1
CAND-0586,Female,Marketing,13,95.4,1
CAND-0587,Female,Engineering,1,57.5,1
CAND-0588,Male,Sales,1,72.2,1
CAND-0589,Female,Design,1,51.3,0
CAND-0590,Female,Sales,6,71.6,1
CAND-0591,Female,Sales,4,54.0,0
CAND-0592,Male,Engineering,14,65.6,1
CAND-0593,Female,Engineering,6,46.2,1
CAND-0594,Female,Engineering,14,82.0,1
CAND-0595,Male,Marketing,14,75.3,1
CAND-0596,Female,Design,1,86.3,0
CAND-0597,Non-Binary,Marketing,4,64.8,1
CAND-0598,Female,Design,4,87.0,1
CAND-0599,Non-Binary,Marketing,2,70.6,0
CAND-0600,Male,Marketing,1,71.7,1
CAND-0601,Male,Engineering,13,100.0,1
CAND-0602,Male,Marketing,8,62.7,1
CAND-0603,Female,Engineering,6,88.4,1
CAND-0604,Male,Design,4,77.2,1
CAND-0605,Female,Engineering,2,61.4,0
CAND-0606,Male,Sales,12,50.3,1
CAND-0607,Non-Binary,Sales,13,54.5,1
CAND-0608,Male,Marketing,5,87.0,1
CAND-0609,Female,Sales,9,96.0,1
CAND-0610,Female,Design,7,71.4,1
CAND-0611,Female,Marketing,4,72.2,1
CAND-0612,Male,Engineering,5,81.6,1
CAND-0613,Female,Marketing,8,71.1,1
CAND-0614,Male,Marketing,11,86.5,1
CAND-0615,Male,Sales,13,74.4,1
CAND-0616,Female,Marketing,5,72.0,1
CAND-0617,Female,Design,12,59.5,1
CAND-0618,Male,Marketing,6,55.8,0
CAND-0619,Female,Engineering,13,22.6,1
CAND-0620,Male,Engineering,10,88.5,1
