customer_id,gender,age,tenure_months,monthly_charges,total_charges,contract_type,tech_support_calls,refund_issued_after_churn,cancellation_survey_score,churn
CUST-10042,Female,31,26,64.64,1678.97,One-Year,1,0,,0
CUST-10043,Female,43,3,99.84,287.88,Month-to-Month,0,1,0.9,1
CUST-10044,Female,45,41,102.24,,Month-to-Month,3,0,,0
CUST-10045,Female,40,60,105.76,6344.74,Two-Year,0,0,,0
CUST-10046,Female,31,14,111.66,,Month-to-Month,0,0,0.6,1
CUST-10047,Male,41,12,63.1,758.13,Two-Year,2,0,,0
CUST-10048,Female,19,12,51.89,632.52,Month-to-Month,1,0,,0
CUST-10049,Female,62,13,78.22,,Month-to-Month,3,0,,0
CUST-10050,Male,43,25,57.12,1407.4,Month-to-Month,1,1,0.9,1
CUST-10051,Female,31,45,80.11,3608.37,One-Year,0,1,1.4,1
CUST-10052,Male,73,19,90.56,1726.67,Month-to-Month,5,1,0.5,1
CUST-10053,Female,68,55,88.84,4880.34,Month-to-Month,1,0,,0
CUST-10054,Male,24,45,57.46,2579.91,Two-Year,2,0,,0
CUST-10055,Female,20,8,36.69,316.1,Month-to-Month,2,0,,0
CUST-10056,Female,64,53,63.05,3335.07,One-Year,0,0,,0
CUST-10057,Male,40,55,34.26,1873.08,One-Year,0,1,0.6,1
CUST-10058,Male,63,32,109.01,3488.57,Month-to-Month,1,1,1.0,1
CUST-10059,Male,60,51,54.59,2789.84,One-Year,3,0,,0
CUST-10060,Male,64,44,35.45,1565.12,Month-to-Month,1,0,,0
CUST-10061,Male,62,70,22.54,1553.12,One-Year,2,0,,0
CUST-10062,Male,35,18,84.58,1515.83,Month-to-Month,0,0,,0
CUST-10063,Male,55,22,83.69,1852.71,One-Year,2,1,1.1,1
CUST-10064,Male,52,37,54.06,2003.49,Month-to-Month,0,0,,0
CUST-10065,Female,68,56,27.17,1509.16,One-Year,1,0,,0
CUST-10066,Female,32,59,60.96,3609.06,Month-to-Month,0,0,,0
CUST-10067,Male,42,3,51.12,163.01,Month-to-Month,1,0,,0
CUST-10068,Female,72,28,87.71,,Month-to-Month,1,0,,0
CUST-10069,Female,54,35,80.58,2829.09,Month-to-Month,0,1,1.3,1
CUST-10070,Female,45,61,56.46,3464.06,Two-Year,1,0,,0
CUST-10071,Female,27,54,41.79,2246.12,Month-to-Month,1,0,,0
CUST-10072,Male,56,63,118.8,7489.95,Two-Year,1,1,1.8,1
CUST-10073,Female,74,7,65.4,477.66,Two-Year,2,1,1.0,1
CUST-10074,Male,34,49,88.83,4359.2,One-Year,1,0,,0
CUST-10075,Female,56,31,34.06,1048.32,Month-to-Month,3,0,,0
CUST-10076,Female,39,58,68.56,3978.87,Month-to-Month,1,0,,0
CUST-10077,Female,43,61,22.75,1401.45,One-Year,0,0,,0
CUST-10078,Male,61,24,70.55,1683.04,Month-to-Month,2,1,1.5,1
CUST-10079,Female,42,20,116.4,,Month-to-Month,3,1,0.9,1
CUST-10080,Male,34,37,58.42,2159.11,One-Year,2,0,,0
CUST-10081,Female,30,4,23.9,89.29,Two-Year,1,1,1.1,1
CUST-10082,Male,37,20,23.1,464.42,One-Year,1,1,,0
CUST-10083,Female,42,60,58.8,3526.99,Month-to-Month,2,0,,0
CUST-10084,Male,21,24,36.0,870.43,One-Year,2,0,,0
CUST-10085,Male,27,50,22.34,1128.41,Month-to-Month,2,0,,0
CUST-10086,Female,20,49,95.62,,Month-to-Month,2,1,1.1,1
CUST-10087,Male,58,51,65.85,3359.03,Two-Year,2,0,,0
CUST-10088,Female,62,36,48.92,1760.59,Month-to-Month,6,1,1.4,1
CUST-10089,Female,35,66,110.01,,Month-to-Month,0,0,,0
CUST-10090,Female,64,34,31.61,1074.59,Month-to-Month,2,0,,0
CUST-10091,Female,53,36,115.59,4151.43,Two-Year,2,0,,0
CUST-10092,Female,64,6,51.4,322.95,One-Year,0,0,,0
CUST-10093,Female,39,39,108.84,4263.57,One-Year,2,1,1.2,1
CUST-10094,Female,51,42,80.29,3377.65,One-Year,1,0,,0
CUST-10095,Female,64,58,102.67,5960.84,Month-to-Month,1,0,,0
CUST-10096,Female,25,12,118.4,,Month-to-Month,4,1,1.4,1
CUST-10097,Female,57,3,48.84,,Month-to-Month,3,1,0.8,1
CUST-10098,Female,66,18,116.11,2065.55,Month-to-Month,1,1,1.7,1
CUST-10099,Male,61,40,58.95,,Month-to-Month,0,1,1.4,1
CUST-10100,Male,36,21,58.55,1223.82,Two-Year,0,0,,0
CUST-10101,Female,59,15,54.04,,Month-to-Month,0,1,0.9,1
CUST-10102,Female,58,26,74.14,1938.57,Month-to-Month,2,0,,0
CUST-10103,Female,54,8,35.41,,Month-to-Month,2,1,1.7,1
CUST-10104,Female,23,42,75.37,3161.94,Month-to-Month,5,0,,0
CUST-10105,Female,69,44,74.17,3249.45,Two-Year,1,0,,0
CUST-10106,Female,43,14,96.19,1345.57,Month-to-Month,0,1,1.6,1
CUST-10107,Female,51,2,103.36,213.44,Month-to-Month,1,1,1.1,1
CUST-10108,Female,73,37,64.04,2361.07,One-Year,2,1,1.7,1
CUST-10109,Male,62,69,50.23,,Month-to-Month,1,0,,0
CUST-10110,Female,23,38,45.93,,Month-to-Month,3,0,,0
CUST-10111,Male,54,41,39.46,1621.21,Month-to-Month,2,0,,0
CUST-10112,Female,74,62,25.76,1594.9,One-Year,1,0,,0
CUST-10113,Female,50,60,54.24,3268.31,Two-Year,3,0,,0
CUST-10114,Male,70,14,47.02,659.69,One-Year,0,0,,0
CUST-10115,Female,39,2,116.64,246.6,Month-to-Month,0,1,1.1,1
CUST-10116,Male,38,70,75.77,5316.36,Two-Year,1,0,,0
CUST-10117,Female,23,17,54.73,917.66,Month-to-Month,4,0,,0
CUST-10118,Female,23,28,78.05,2190.0,Month-to-Month,2,0,,0
CUST-10119,Male,72,66,33.92,,Month-to-Month,0,0,,0
CUST-10120,Female,65,35,64.4,2244.01,Month-to-Month,1,0,,0
CUST-10121,Male,21,5,82.62,,Month-to-Month,1,1,1.1,1
CUST-10122,Female,47,65,68.89,4469.68,One-Year,2,1,1.7,1
CUST-10123,Male,28,40,60.18,2416.1,Two-Year,3,0,,0
CUST-10124,Male,47,56,119.38,6688.12,Month-to-Month,3,0,,0
CUST-10125,Female,48,36,108.03,3869.72,Month-to-Month,3,0,,0
CUST-10126,Female,41,45,82.34,3708.71,Month-to-Month,1,0,,0
CUST-10127,Male,72,23,76.94,1767.1,Month-to-Month,1,1,1.2,1
CUST-10128,Female,26,47,82.07,3856.17,One-Year,1,1,0.9,1
CUST-10129,Female,72,31,40.13,,Month-to-Month,0,0,,0
CUST-10130,Female,20,11,59.51,658.09,Two-Year,2,1,0.6,1
CUST-10131,Male,68,10,23.95,250.0,Month-to-Month,1,0,,0
CUST-10132,Male,48,67,67.55,,Month-to-Month,3,0,,0
CUST-10133,Male,57,14,74.3,1023.38,Month-to-Month,2,1,1.2,1
CUST-10134,Male,54,10,42.77,424.67,Month-to-Month,1,0,,0
CUST-10135,Male,53,1,116.4,123.96,Month-to-Month,1,1,1.1,1
CUST-10136,Male,41,5,110.95,550.54,One-Year,2,1,0.4,1
CUST-10137,Male,48,20,92.21,1829.22,Month-to-Month,0,1,2.6,1
CUST-10138,Male,23,8,73.34,594.35,One-Year,3,1,0.9,1
CUST-10139,Male,19,43,107.0,4615.15,Month-to-Month,1,1,1.6,1
CUST-10140,Female,37,1,33.07,,Month-to-Month,0,0,,0
CUST-10141,Male,45,57,99.05,5629.79,Month-to-Month,0,0,,0
CUST-10142,Female,28,64,32.48,2075.54,Two-Year,1,1,0.9,1
CUST-10143,Female,21,28,99.42,2785.28,Month-to-Month,0,0,,0
CUST-10144,Female,32,37,47.58,1752.36,One-Year,2,0,,0
CUST-10145,Male,23,47,107.71,5068.2,Month-to-Month,1,1,1.2,1
CUST-10146,Male,71,37,114.4,4223.73,One-Year,0,0,1.1,1
CUST-10147,Male,66,49,34.88,1709.38,Month-to-Month,0,1,1.3,1
CUST-10148,Male,47,44,66.27,2913.6,One-Year,1,1,1.1,1
CUST-10149,Female,73,56,118.1,6619.76,One-Year,0,0,,0
CUST-10150,Male,55,28,68.34,1913.38,Two-Year,2,0,,0
CUST-10151,Male,68,6,106.35,636.14,Month-to-Month,1,1,1.2,1
CUST-10152,Male,74,61,78.87,,Month-to-Month,2,1,1.1,1
CUST-10153,Male,19,20,57.53,1150.95,Month-to-Month,1,0,,0
CUST-10154,Male,32,2,48.58,94.56,Two-Year,0,0,,0
CUST-10155,Female,28,37,40.32,1483.13,Month-to-Month,1,0,,0
CUST-10156,Male,25,20,96.18,1925.19,One-Year,6,1,1.1,1
CUST-10157,Female,43,26,58.65,1528.54,Month-to-Month,2,1,1.4,1
CUST-10158,Male,68,29,71.13,2059.39,Month-to-Month,1,1,1.3,1
CUST-10159,Female,62,1,69.23,,Month-to-Month,2,1,0.9,1
CUST-10160,Male,61,35,77.73,2723.19,Two-Year,3,0,,0
CUST-10161,Male,22,70,106.56,7446.36,One-Year,1,0,,0
CUST-10162,Female,23,59,118.07,6979.5,Two-Year,3,0,,0
CUST-10163,Female,43,69,60.76,4200.11,Month-to-Month,0,0,,0
CUST-10164,Female,71,33,102.75,3400.77,One-Year,2,0,,0
CUST-10165,Male,21,51,96.45,4922.96,One-Year,0,0,,0
CUST-10166,Female,36,12,77.35,904.82,Month-to-Month,3,1,1.4,1
CUST-10167,Male,37,20,115.6,2322.93,Two-Year,2,1,0.7,1
CUST-10168,Male,50,53,40.05,2123.26,Two-Year,4,0,,0
CUST-10169,Female,37,43,30.93,1333.52,Two-Year,1,0,,0
CUST-10170,Female,66,50,105.4,5275.4,One-Year,3,0,,0
CUST-10171,Male,29,29,63.91,1872.75,Month-to-Month,0,1,,0
CUST-10172,Male,64,57,104.7,5962.44,Month-to-Month,2,0,,0
CUST-10173,Female,18,39,109.31,4257.89,Two-Year,1,0,,0
CUST-10174,Female,43,56,26.25,1461.49,Month-to-Month,1,0,,0
CUST-10175,Female,31,43,108.35,4648.35,One-Year,0,0,,0
CUST-10176,Male,55,50,64.83,3230.98,One-Year,1,1,0.5,1
CUST-10177,Male,54,23,71.04,1615.4,One-Year,0,1,0.8,1
CUST-10178,Male,28,44,82.66,3641.31,Two-Year,0,0,,0
CUST-10179,Male,53,38,112.64,4300.2,Month-to-Month,2,1,1.0,1
CUST-10180,Male,30,23,21.91,524.45,Month-to-Month,0,0,,0
CUST-10181,Male,60,45,67.68,3037.08,Month-to-Month,0,1,1.2,1
CUST-10182,Female,20,52,88.77,,Month-to-Month,3,0,,0
CUST-10183,Male,50,50,92.27,4625.83,Month-to-Month,2,0,,0
CUST-10184,Male,23,8,89.25,718.32,Month-to-Month,1,0,,0
CUST-10185,Male,67,1,33.44,34.79,Two-Year,4,0,,0
CUST-10186,Female,73,8,49.94,396.95,Two-Year,2,0,,0
CUST-10187,Male,27,29,55.87,,Month-to-Month,3,0,,0
CUST-10188,Male,22,5,100.44,491.47,Month-to-Month,2,1,0.6,1
CUST-10189,Female,40,47,47.88,2255.17,Two-Year,1,0,0.9,1
CUST-10190,Male,27,34,41.07,1399.83,Month-to-Month,2,0,,0
CUST-10191,Male,61,65,115.74,7523.53,Month-to-Month,3,0,,0
CUST-10192,Male,19,55,20.89,1156.83,Month-to-Month,2,0,,0
CUST-10193,Male,30,43,119.78,5150.88,One-Year,1,0,,0
CUST-10194,Male,57,30,87.68,2625.05,Month-to-Month,2,0,,0
CUST-10195,Female,19,17,102.85,1749.38,Two-Year,2,0,0.8,1
CUST-10196,Female,37,26,49.46,,Month-to-Month,1,1,1.1,1
CUST-10197,Female,18,8,21.43,177.57,Month-to-Month,1,1,1.2,1
CUST-10198,Male,54,47,93.79,,Month-to-Month,0,0,,0
CUST-10199,Male,26,46,103.41,4750.29,Month-to-Month,1,0,,0
CUST-10200,Male,34,68,94.05,6386.45,One-Year,0,0,,0
CUST-10201,Female,26,33,34.29,1125.37,One-Year,2,0,,0
CUST-10202,Male,28,1,95.34,94.71,One-Year,2,0,0.6,1
CUST-10203,Male,32,19,96.89,1843.07,One-Year,2,1,1.8,1
CUST-10204,Female,41,31,85.85,2677.5,Two-Year,0,1,1.4,1
CUST-10205,Male,55,14,96.61,1367.43,Two-Year,2,1,0.9,1
CUST-10206,Female,72,53,104.59,5551.59,One-Year,2,0,,0
CUST-10207,Female,52,48,81.36,3906.49,Month-to-Month,3,0,1.5,1
CUST-10208,Female,47,69,28.86,1982.07,Month-to-Month,3,0,,0
CUST-10209,Male,48,62,68.76,4279.92,Month-to-Month,3,1,0.9,1
CUST-10210,Male,66,66,27.76,1829.68,One-Year,2,0,,0
CUST-10211,Male,22,64,60.75,3890.81,Month-to-Month,2,0,,0
CUST-10212,Male,61,70,60.71,4255.97,Month-to-Month,0,0,,0
CUST-10213,Male,67,63,26.6,1676.42,Two-Year,2,0,,0
CUST-10214,Male,31,33,54.88,1822.55,Two-Year,2,0,,0
CUST-10215,Male,70,41,31.1,1279.65,Two-Year,2,0,,0
CUST-10216,Female,73,48,100.82,4849.25,Month-to-Month,0,1,2.2,1
CUST-10217,Male,28,13,114.77,1496.48,One-Year,0,0,,0
CUST-10218,Female,26,31,27.23,843.75,Month-to-Month,2,1,1.5,1
CUST-10219,Male,51,68,115.51,,Month-to-Month,1,0,,0
CUST-10220,Male,29,4,72.26,288.42,Month-to-Month,2,0,,0
CUST-10221,Male,52,19,49.96,936.4,Month-to-Month,2,0,,0
CUST-10222,Female,52,70,27.69,1928.29,Month-to-Month,4,0,,0
CUST-10223,Female,18,13,70.06,918.19,Two-Year,0,0,,0
CUST-10224,Female,57,23,99.45,2274.76,Month-to-Month,1,1,1.3,1
CUST-10225,Female,39,1,90.71,86.67,One-Year,0,0,,0
CUST-10226,Male,46,54,25.02,1340.58,Month-to-Month,0,1,1.2,1
CUST-10227,Female,25,71,27.29,1933.01,Month-to-Month,0,0,,0
CUST-10228,Male,28,15,60.29,902.8,Month-to-Month,1,1,1.5,1
CUST-10229,Male,58,65,49.53,3215.39,Month-to-Month,2,0,,0
CUST-10230,Female,54,71,43.24,3055.76,One-Year,0,0,,0
CUST-10231,Female,31,15,48.1,719.64,Month-to-Month,1,1,1.8,1
CUST-10232,Female,47,21,100.35,2097.76,Month-to-Month,3,0,,0
CUST-10233,Female,52,19,112.92,2139.11,Month-to-Month,1,1,1.3,1
CUST-10234,Female,38,60,60.51,3638.01,Month-to-Month,3,0,,0
CUST-10235,Female,54,33,110.61,3659.68,Two-Year,3,1,1.2,1
CUST-10236,Female,22,49,52.15,2542.24,Month-to-Month,2,0,,0
CUST-10237,Female,36,35,67.64,2383.09,One-Year,1,1,1.6,1
CUST-10238,Male,31,44,42.6,1869.3,One-Year,1,1,,0
CUST-10239,Female,43,11,84.05,918.54,Two-Year,1,0,,0
CUST-10240,Female,21,66,117.9,7772.48,Two-Year,1,0,,0
CUST-10241,Male,42,46,80.35,3696.66,One-Year,0,0,,0
CUST-10242,Female,62,9,55.78,521.84,One-Year,2,0,,0
CUST-10243,Male,59,3,84.78,238.94,Two-Year,1,0,,0
CUST-10244,Male,42,26,32.29,818.97,Month-to-Month,3,0,,0
CUST-10245,Female,35,48,108.87,5228.45,Month-to-Month,2,0,1.6,1
CUST-10246,Male,57,66,70.31,,Month-to-Month,2,0,,0
CUST-10247,Male,25,70,64.93,4545.63,Two-Year,0,0,,0
CUST-10248,Male,56,28,78.59,2206.48,Two-Year,2,1,1.6,1
CUST-10249,Male,57,26,82.48,,Month-to-Month,1,1,0.9,1
CUST-10250,Female,31,25,27.18,670.05,One-Year,3,0,,0
CUST-10251,Male,49,12,88.26,1060.36,Month-to-Month,2,1,0.8,1
CUST-10252,Female,68,5,44.19,,Month-to-Month,0,0,,0
CUST-10253,Male,55,48,91.4,4392.81,Two-Year,4,1,1.4,1
CUST-10254,Male,50,37,102.25,3789.32,Month-to-Month,2,0,,0
CUST-10255,Male,40,44,100.4,4406.86,Month-to-Month,3,0,,0
CUST-10256,Male,32,15,75.25,1132.97,One-Year,0,0,,0
CUST-10257,Female,50,43,72.02,3085.04,One-Year,1,0,,0
CUST-10258,Female,42,48,34.29,1663.6,Month-to-Month,2,0,,0
CUST-10259,Male,34,70,97.53,6816.98,One-Year,2,0,,0
CUST-10260,Male,50,46,47.14,2160.48,Month-to-Month,1,1,0.8,1
CUST-10261,Female,64,43,69.67,2981.08,Month-to-Month,1,1,1.9,1
CUST-10262,Male,72,21,48.43,1017.89,Month-to-Month,1,1,1.1,1
CUST-10263,Male,19,23,33.38,768.18,One-Year,2,0,,0
CUST-10264,Male,31,47,82.96,3914.25,Month-to-Month,3,0,1.1,1
CUST-10265,Female,70,15,25.43,389.21,Two-Year,3,0,1.5,1
CUST-10266,Female,57,25,94.86,2363.59,Two-Year,1,0,,0
CUST-10267,Female,57,36,51.76,1872.09,Two-Year,1,0,,0
CUST-10268,Male,68,51,20.01,1008.07,Month-to-Month,1,0,,0
CUST-10269,Male,56,15,71.11,1059.47,Two-Year,3,1,1.8,1
CUST-10270,Female,68,68,24.69,1680.1,Month-to-Month,3,0,,0
CUST-10271,Female,23,21,47.62,988.7,Month-to-Month,2,0,,0
CUST-10272,Female,23,13,90.7,1189.75,Month-to-Month,1,0,0.7,1
CUST-10273,Female,20,19,26.27,521.92,Month-to-Month,0,0,,0
CUST-10274,Male,24,34,103.93,3530.67,One-Year,1,0,,0
CUST-10275,Female,68,68,20.38,,Month-to-Month,1,0,,0
CUST-10276,Male,25,52,44.68,2322.06,Month-to-Month,1,0,,0
CUST-10277,Female,59,27,94.09,2534.86,One-Year,2,0,,0
CUST-10278,Male,69,29,51.63,1499.89,Month-to-Month,3,0,,0
CUST-10279,Female,32,28,30.19,832.1,One-Year,3,0,,0
CUST-10280,Female,64,35,56.02,1963.89,Month-to-Month,1,0,,0
CUST-10281,Female,46,8,47.04,395.44,Two-Year,2,1,0.9,1
CUST-10282,Female,50,16,104.27,1648.3,Two-Year,1,1,0.9,1
CUST-10283,Male,69,36,51.33,,Month-to-Month,2,0,,0
CUST-10284,Female,47,30,98.89,2962.25,Month-to-Month,0,0,,0
CUST-10285,Male,56,18,109.19,1970.84,Month-to-Month,1,1,0.8,1
CUST-10286,Male,44,2,63.38,135.66,Two-Year,0,0,,0
CUST-10287,Male,53,49,110.99,5446.61,Month-to-Month,1,1,1.1,1
CUST-10288,Male,46,4,57.73,214.0,Month-to-Month,1,0,,0
CUST-10289,Female,55,7,116.41,,Month-to-Month,1,0,,0
CUST-10290,Male,74,39,28.93,1119.27,Month-to-Month,0,0,,0
CUST-10291,Male,50,13,88.7,,Month-to-Month,2,1,1.1,1
CUST-10292,Male,54,31,69.38,2150.96,Two-Year,1,1,1.3,1
CUST-10293,Female,44,71,58.76,,Month-to-Month,3,0,,0
CUST-10294,Female,72,63,83.27,5241.61,Month-to-Month,0,0,,0
CUST-10295,Female,50,56,90.39,5067.65,Two-Year,1,0,,0
CUST-10296,Female,21,42,20.44,852.2,Two-Year,4,0,,0
CUST-10297,Male,39,61,36.7,2236.7,Month-to-Month,1,0,,0
CUST-10298,Male,19,42,91.3,,Month-to-Month,0,1,1.1,1
CUST-10299,Female,27,56,86.64,4871.74,Month-to-Month,1,0,,0
CUST-10300,Male,22,36,116.6,4175.99,Two-Year,1,1,1.3,1
CUST-10301,Male,27,68,96.1,6535.94,Month-to-Month,2,0,,0
CUST-10302,Male,50,7,115.08,834.73,Two-Year,2,1,1.1,1
CUST-10303,Female,71,54,90.25,4878.29,One-Year,3,0,,0
CUST-10304,Female,55,1,49.81,49.99,Month-to-Month,3,0,,0
CUST-10305,Male,30,44,30.54,1356.89,Month-to-Month,2,0,,0
CUST-10306,Female,48,45,98.18,4420.28,Month-to-Month,1,1,1.1,1
CUST-10307,Female,64,47,84.41,3974.36,Month-to-Month,3,0,,0
CUST-10308,Female,53,13,24.82,,Month-to-Month,1,1,1.1,1
CUST-10309,Female,62,22,56.01,1234.26,One-Year,1,1,1.2,1
CUST-10310,Female,41,21,115.68,2433.55,Two-Year,1,1,1.0,1
CUST-10311,Male,69,9,70.04,639.02,One-Year,1,1,,0
CUST-10312,Female,73,26,63.27,1640.7,One-Year,1,1,0.9,1
CUST-10313,Male,32,9,65.77,,Month-to-Month,0,1,1.3,1
CUST-10314,Male,46,15,40.89,594.08,Month-to-Month,3,1,1.4,1
CUST-10315,Female,25,10,56.87,,Month-to-Month,3,1,1.3,1
CUST-10316,Male,22,42,56.98,2402.69,One-Year,3,0,,0
CUST-10317,Male,46,24,25.24,610.39,Two-Year,2,0,,0
CUST-10318,Male,64,49,96.76,4731.27,One-Year,1,0,,0
CUST-10319,Female,21,26,61.65,1583.86,Month-to-Month,1,1,1.5,1
CUST-10320,Female,29,37,102.22,3780.72,Month-to-Month,1,0,,0
CUST-10321,Male,62,68,105.03,7151.28,One-Year,2,0,,0
CUST-10322,Female,19,50,41.2,2055.21,Month-to-Month,0,0,,0
CUST-10323,Female,44,24,85.74,2043.31,Two-Year,0,0,,0
CUST-10324,Female,48,19,67.23,1271.47,Two-Year,2,0,,0
CUST-10325,Female,68,60,108.02,6484.46,One-Year,0,0,,0
CUST-10326,Male,68,39,41.57,,Month-to-Month,4,0,,0
CUST-10327,Male,53,18,87.78,1577.47,Month-to-Month,0,1,0.8,1
CUST-10328,Female,53,19,80.78,,Month-to-Month,0,1,1.5,1
CUST-10329,Female,43,36,49.53,1792.52,Month-to-Month,1,0,,0
CUST-10330,Male,60,55,33.66,1839.53,Month-to-Month,1,0,,0
CUST-10331,Male,44,69,85.16,5888.55,One-Year,4,0,,0
CUST-10332,Female,22,47,93.86,4414.37,One-Year,1,0,,0
CUST-10333,Male,37,49,51.56,2514.37,Month-to-Month,1,0,,0
CUST-10334,Female,28,33,84.48,2805.45,Month-to-Month,2,0,,0
CUST-10335,Female,27,21,59.51,,Month-to-Month,1,0,,0
CUST-10336,Male,57,22,91.32,1989.61,Month-to-Month,5,0,,0
CUST-10337,Male,55,48,39.92,1909.1,Two-Year,3,0,,0
CUST-10338,Female,23,37,109.02,,Month-to-Month,4,1,0.7,1
CUST-10339,Female,25,15,48.74,724.28,Month-to-Month,2,0,1.6,1
CUST-10340,Male,40,35,56.78,1982.85,Month-to-Month,1,0,,0
CUST-10341,Female,64,71,25.81,1829.94,Two-Year,1,0,,0
CUST-10342,Male,43,32,31.15,993.85,One-Year,2,0,,0
CUST-10343,Female,63,11,71.59,786.52,Month-to-Month,1,1,1.3,1
CUST-10344,Male,60,10,46.76,473.47,Month-to-Month,2,0,1.0,1
CUST-10345,Male,29,57,103.55,5894.89,One-Year,2,0,,0
CUST-10346,Male,43,25,21.47,548.56,Two-Year,1,1,0.8,1
CUST-10347,Female,30,2,57.91,103.57,Month-to-Month,1,0,,0
CUST-10348,Female,57,64,53.73,3444.87,Two-Year,1,0,,0
CUST-10349,Male,35,35,21.93,783.98,Two-Year,3,0,,0
CUST-10350,Female,42,7,32.44,225.31,Two-Year,1,0,,0
CUST-10351,Male,50,18,61.36,1106.41,One-Year,2,0,,0
CUST-10352,Male,64,67,69.29,4632.75,One-Year,3,0,,0
CUST-10353,Female,57,42,60.43,,Month-to-Month,1,0,,0
CUST-10354,Female,60,39,73.09,2866.19,One-Year,0,0,,0
CUST-10355,Male,29,41,79.51,3267.39,Month-to-Month,3,0,,0
CUST-10356,Female,61,24,20.99,507.95,One-Year,2,1,0.7,1
CUST-10357,Female,53,60,66.41,3965.22,Month-to-Month,1,0,,0
CUST-10358,Male,65,46,116.35,5344.94,One-Year,2,0,,0
CUST-10359,Male,21,19,71.9,1383.49,Two-Year,0,0,,0
CUST-10360,Female,22,68,87.75,5971.11,Month-to-Month,0,0,,0
CUST-10361,Male,73,42,51.19,2155.34,Two-Year,0,0,,0
CUST-10362,Male,54,32,97.4,3118.51,Month-to-Month,2,0,,0
CUST-10363,Female,25,39,97.29,3788.18,Two-Year,0,0,,0
CUST-10364,Male,59,36,72.13,2600.01,Month-to-Month,2,0,,0
CUST-10365,Male,66,36,117.6,,Month-to-Month,1,1,1.6,1
CUST-10366,Female,45,3,32.56,81.63,Two-Year,1,0,,0
CUST-10367,Female,48,8,21.69,,Month-to-Month,3,0,,0
CUST-10368,Male,26,70,97.02,6793.32,Two-Year,1,0,,0
CUST-10369,Male,71,41,100.72,4113.82,Month-to-Month,1,0,,0
CUST-10370,Female,68,68,32.02,2178.63,Month-to-Month,0,0,,0
CUST-10371,Female,46,13,46.56,595.33,Month-to-Month,4,1,1.3,1
CUST-10372,Female,31,49,21.76,1057.64,One-Year,0,0,,0
